named_moon,named_moon_desc
Wolf Moon,"The first Full Moon of the year is known as the Wolf Moon, for the howling often around this time of year."
Snow Moon,The Full Moon in February is known as the Snow Moon for the snow that often falls in February.
Worm Moon,The Full Moon in March is known as the Worm Moon for the earthworms that appear as the soil warms in spring.
Pink Moon,"The Full Moon in April is known as the Pink Moon for the ""moss pink"" wildflowers that appear as one of the first flowers of spring."
Flower Moon,The Full Moon in May is known as the Flower Moon for the abundance of flowers that bloom around this time.
Strawberry Moon,The Full Moon in June is known as the Strawberry Moon for the berries that grow around this time of the year. 
Buck Moon,The Full Moon in July is known as the Buck Moon for the new antlers that emerge on a deer buck’s forehead around this time. 
Sturgeon Moon,The Full Moon in August is known as the Sturgeon Moon for the sturgeon migration that happens around this time of the year.
Corn Moon,The Full Moon in September is known as the Corn Moon for the corn that is ready to harvest this time of year.
Hunter's Moon,"The Full Moon in October is known as the Hunter's Moon, and is the time for hunting and laying in a store of provisions for the long winter months ahead."
Beaver Moon,The Full Moon in November is known as the Beaver Moon for the beavers who finish preparations for winter and retreat into their lodges.
Cold Moon,The Full Moon in December is known as the Cold Moon for the winter cold that fastens its grip for the next few months.
Blue Moon,"A Blue Moon is commonly understood to be the second full moon in a given month. However, the traditional definition of a blue moon is the third full Moon in an astronomical season containing four full moons."
Harvest Moon,"The Harvest Moon is the full moon that is closest to the autumnal equinox, and signifies the time for harvesting crops."
