"","year","shower_name","active_start","peak_date","active_end","active_date_label","peak_date_label","zhr","intensity"
"1",2000,"Delta Aquariids",2000-07-12,2000-07-30,2000-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"2",2000,"Draconids",2000-10-06,2000-10-08,2000-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"3",2000,"Eta Aquariids",2000-04-19,2000-05-06,2000-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"4",2000,"Geminids",2000-12-04,2000-12-14,2000-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"5",2000,"Leonids",2000-11-06,2000-11-17,2000-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"6",2000,"Lyrids",2000-04-15,2000-04-22,2000-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"7",2000,"Northern Taurids",2000-10-13,2000-11-12,2000-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"8",2000,"Orionids",2000-10-02,2000-10-22,2000-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"9",2000,"Perseids",2000-07-17,2000-08-12,2000-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"10",2000,"Quadrantids",2000-01-01,2000-01-03,2000-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"11",2000,"Southern Taurids",2000-09-23,2000-10-10,2000-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"12",2000,"Ursids",2000-12-17,2000-12-22,2000-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"13",2001,"Delta Aquariids",2001-07-12,2001-07-30,2001-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"14",2001,"Draconids",2001-10-06,2001-10-08,2001-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"15",2001,"Eta Aquariids",2001-04-19,2001-05-06,2001-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"16",2001,"Geminids",2001-12-04,2001-12-14,2001-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"17",2001,"Leonids",2001-11-06,2001-11-17,2001-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"18",2001,"Lyrids",2001-04-15,2001-04-22,2001-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"19",2001,"Northern Taurids",2001-10-13,2001-11-12,2001-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"20",2001,"Orionids",2001-10-02,2001-10-22,2001-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"21",2001,"Perseids",2001-07-17,2001-08-12,2001-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"22",2001,"Quadrantids",2001-01-01,2001-01-03,2001-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"23",2001,"Southern Taurids",2001-09-23,2001-10-10,2001-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"24",2001,"Ursids",2001-12-17,2001-12-22,2001-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"25",2002,"Delta Aquariids",2002-07-12,2002-07-30,2002-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"26",2002,"Draconids",2002-10-06,2002-10-08,2002-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"27",2002,"Eta Aquariids",2002-04-19,2002-05-06,2002-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"28",2002,"Geminids",2002-12-04,2002-12-14,2002-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"29",2002,"Leonids",2002-11-06,2002-11-17,2002-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"30",2002,"Lyrids",2002-04-15,2002-04-22,2002-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"31",2002,"Northern Taurids",2002-10-13,2002-11-12,2002-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"32",2002,"Orionids",2002-10-02,2002-10-22,2002-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"33",2002,"Perseids",2002-07-17,2002-08-12,2002-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"34",2002,"Quadrantids",2002-01-01,2002-01-03,2002-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"35",2002,"Southern Taurids",2002-09-23,2002-10-10,2002-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"36",2002,"Ursids",2002-12-17,2002-12-22,2002-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
