event,event_utc,event_la,year,event_la_date,event_desc
Spring Equinox,2000-03-20T08:00:00Z,2000-03-20T08:00:00Z,2000,2000-03-20,Day and night are approximately equal.
Summer Solstice,2000-06-21T02:00:00Z,2000-06-21T02:00:00Z,2000,2000-06-20,The longest day of the year.
Autumn Equinox,2000-09-22T17:00:00Z,2000-09-22T17:00:00Z,2000,2000-09-22,Day and night are approximately equal.
Winter Solstice,2000-12-21T14:00:00Z,2000-12-21T14:00:00Z,2000,2000-12-21,The longest night of the year.
Spring Equinox,2001-03-20T14:00:00Z,2001-03-20T14:00:00Z,2001,2001-03-20,Day and night are approximately equal.
Summer Solstice,2001-06-21T08:00:00Z,2001-06-21T08:00:00Z,2001,2001-06-21,The longest day of the year.
Autumn Equinox,2001-09-22T23:00:00Z,2001-09-22T23:00:00Z,2001,2001-09-22,Day and night are approximately equal.
Winter Solstice,2001-12-21T19:00:00Z,2001-12-21T19:00:00Z,2001,2001-12-21,The longest night of the year.
Spring Equinox,2002-03-20T19:00:00Z,2002-03-20T19:00:00Z,2002,2002-03-20,Day and night are approximately equal.
Summer Solstice,2002-06-21T13:00:00Z,2002-06-21T13:00:00Z,2002,2002-06-21,The longest day of the year.
Autumn Equinox,2002-09-23T05:00:00Z,2002-09-23T05:00:00Z,2002,2002-09-22,Day and night are approximately equal.
Winter Solstice,2002-12-22T01:00:00Z,2002-12-22T01:00:00Z,2002,2002-12-21,The longest night of the year.
Spring Equinox,2003-03-21T01:00:00Z,2003-03-21T01:00:00Z,2003,2003-03-20,Day and night are approximately equal.
Summer Solstice,2003-06-21T19:00:00Z,2003-06-21T19:00:00Z,2003,2003-06-21,The longest day of the year.
Autumn Equinox,2003-09-23T11:00:00Z,2003-09-23T11:00:00Z,2003,2003-09-23,Day and night are approximately equal.
Winter Solstice,2003-12-22T07:00:00Z,2003-12-22T07:00:00Z,2003,2003-12-21,The longest night of the year.
Spring Equinox,2004-03-20T07:00:00Z,2004-03-20T07:00:00Z,2004,2004-03-19,Day and night are approximately equal.
Summer Solstice,2004-06-21T01:00:00Z,2004-06-21T01:00:00Z,2004,2004-06-20,The longest day of the year.
Autumn Equinox,2004-09-22T16:00:00Z,2004-09-22T16:00:00Z,2004,2004-09-22,Day and night are approximately equal.
Winter Solstice,2004-12-21T13:00:00Z,2004-12-21T13:00:00Z,2004,2004-12-21,The longest night of the year.
Spring Equinox,2005-03-20T13:00:00Z,2005-03-20T13:00:00Z,2005,2005-03-20,Day and night are approximately equal.
Summer Solstice,2005-06-21T07:00:00Z,2005-06-21T07:00:00Z,2005,2005-06-21,The longest day of the year.
Autumn Equinox,2005-09-22T22:00:00Z,2005-09-22T22:00:00Z,2005,2005-09-22,Day and night are approximately equal.
Winter Solstice,2005-12-21T19:00:00Z,2005-12-21T19:00:00Z,2005,2005-12-21,The longest night of the year.
Spring Equinox,2006-03-20T18:00:00Z,2006-03-20T18:00:00Z,2006,2006-03-20,Day and night are approximately equal.
Summer Solstice,2006-06-21T12:00:00Z,2006-06-21T12:00:00Z,2006,2006-06-21,The longest day of the year.
Autumn Equinox,2006-09-23T04:00:00Z,2006-09-23T04:00:00Z,2006,2006-09-22,Day and night are approximately equal.
Winter Solstice,2006-12-22T00:00:00Z,2006-12-22T00:00:00Z,2006,2006-12-21,The longest night of the year.
Spring Equinox,2007-03-21T00:00:00Z,2007-03-21T00:00:00Z,2007,2007-03-20,Day and night are approximately equal.
Summer Solstice,2007-06-21T18:00:00Z,2007-06-21T18:00:00Z,2007,2007-06-21,The longest day of the year.
Autumn Equinox,2007-09-23T10:00:00Z,2007-09-23T10:00:00Z,2007,2007-09-23,Day and night are approximately equal.
Winter Solstice,2007-12-22T06:00:00Z,2007-12-22T06:00:00Z,2007,2007-12-21,The longest night of the year.
Spring Equinox,2008-03-20T06:00:00Z,2008-03-20T06:00:00Z,2008,2008-03-19,Day and night are approximately equal.
Summer Solstice,2008-06-20T23:00:00Z,2008-06-20T23:00:00Z,2008,2008-06-20,The longest day of the year.
Autumn Equinox,2008-09-22T16:00:00Z,2008-09-22T16:00:00Z,2008,2008-09-22,Day and night are approximately equal.
Winter Solstice,2008-12-21T12:00:00Z,2008-12-21T12:00:00Z,2008,2008-12-21,The longest night of the year.
Spring Equinox,2009-03-20T12:00:00Z,2009-03-20T12:00:00Z,2009,2009-03-20,Day and night are approximately equal.
Summer Solstice,2009-06-21T06:00:00Z,2009-06-21T06:00:00Z,2009,2009-06-20,The longest day of the year.
Autumn Equinox,2009-09-22T21:00:00Z,2009-09-22T21:00:00Z,2009,2009-09-22,Day and night are approximately equal.
Winter Solstice,2009-12-21T18:00:00Z,2009-12-21T18:00:00Z,2009,2009-12-21,The longest night of the year.
Spring Equinox,2010-03-20T18:00:00Z,2010-03-20T18:00:00Z,2010,2010-03-20,Day and night are approximately equal.
Summer Solstice,2010-06-21T11:00:00Z,2010-06-21T11:00:00Z,2010,2010-06-21,The longest day of the year.
Autumn Equinox,2010-09-23T03:00:00Z,2010-09-23T03:00:00Z,2010,2010-09-22,Day and night are approximately equal.
Winter Solstice,2010-12-21T23:00:00Z,2010-12-21T23:00:00Z,2010,2010-12-21,The longest night of the year.
