catalog_number,date_la,time_la,delta_t_s,luna_num,saros_num,eclipse_type,qle,gamma,eclipse_mag,latitude,longitude,sun_alt_deg,path_width_km,central_duration_s,eclipse_type_long,eclipse_desc,distance_to_ca_km,eclipse_visibility_ca,central_duration_text
09511,2001-06-21,05:04:46,64,18,127,T,-p,-0.5701,1.0495,-11,3,55,200,297,Total,The Moon completely covers the Sun.,13609.591275006123,Not Visible in California,4m 57s
09512,2001-12-14,12:53:01,64,24,132,A,-n,0.4089,0.9681,1,-131,66,126,233,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",4152.769851280542,Partially Visible in California,3m 53s
09513,2002-06-10,16:45:22,64,30,137,A,nn,0.1993,0.9962,35,-179,78,13,23,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",5281.6684452976215,Not Visible in California,0m 23s
09514,2002-12-03,23:32:16,64,36,142,T,n-,-0.302,1.0244,-39,60,72,87,124,Total,The Moon completely covers the Sun.,19762.82086415586,Not Visible in California,2m 4s
09515,2003-05-30,21:09:22,64,42,147,An,t-,0.996,0.9384,67,-24,3,NA,217,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",6511.797967880393,Not Visible in California,3m 37s
09516,2003-11-23,14:50:22,64,48,152,T,t-,-0.9638,1.0379,-73,88,15,495,117,Total,The Moon completely covers the Sun.,15711.857102358004,Not Visible in California,1m 57s
09517,2004-04-19,06:35:05,65,53,119,P,-t,-1.1335,0.7367,-62,44,0,NA,NA,Partial,The Moon partially covers the Sun.,16985.16823794389,Not Visible in California,NA
09518,2004-10-13,20:00:23,65,59,124,P,-t,1.0348,0.9282,61,-154,0,NA,NA,Partial,The Moon partially covers the Sun.,3614.263002161689,Partially Visible in California,NA
09519,2005-04-08,13:36:51,65,65,129,H,-n,-0.3473,1.0074,-11,-119,70,27,42,Hybrid,A rare eclipse that appears total in some locations and annular in others.,5312.884480432229,Not Visible in California,0m 42s
09520,2005-10-03,03:32:47,65,71,134,A,-p,0.3306,0.9576,13,29,71,162,272,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",13567.574285131437,Not Visible in California,4m 32s
09521,2006-03-29,02:12:23,65,77,139,T,n-,0.3843,1.0515,23,17,67,184,247,Total,The Moon completely covers the Sun.,11949.687788959292,Not Visible in California,4m 7s
09522,2006-09-22,04:41:16,65,83,144,A,p-,-0.4062,0.9352,-21,-9,66,261,429,Annular,"The Moon appears smaller than the Sun, creating a ring of light.",13164.06523059464,Not Visible in California,7m 9s
